duel_id,map_name,tick,attacker_steamid,attacker_name,attacker_team,victim_steamid,victim_name,victim_team,weapon,headshot,penetrated,attacker_x,attacker_y,attacker_z,victim_x,victim_y,victim_z,distance_3d,attacker_view_error_deg,victim_view_error_deg,attacker_hp_at_kill,victim_hp_at_kill,victim_died,attacker_in_smoke,victim_in_smoke,smoke_between_players,active_smoke_count
76561198160709585_vs_76561198288540801_at_65101,de_ancient,65101,76561198160709585,sjuush,CT,76561198288540801,Patsi,TERRORIST,m4a1,True,0,-1073.395263671875,798.8367309570312,68.3770523071289,-1818.4500732421875,1045.5546875,52.03125,785.011849972761,0.3799905080515928,0.93853256988188,100,0,True,False,False,False,2
76561198253670517_vs_76561198160709585_at_65170,de_ancient,65170,76561198253670517,BELCHONOKK,TERRORIST,76561198160709585,sjuush,CT,galilar,True,0,-1954.5625,1057.6888427734375,52.0312385559082,-1070.9874267578125,820.4273681640625,68.50621795654297,915.0242304633268,0.7455927506779385,3.6546589671038245,74,0,True,False,False,False,2
76561198253670517_vs_76561198053126645_at_66850,de_ancient,66850,76561198253670517,BELCHONOKK,TERRORIST,76561198053126645,NertZ,CT,galilar,False,0,-1971.8248291015625,986.5513916015625,52.031246185302734,-1461.7694091796875,517.0303955078125,112.03125,695.8494791420851,3.4923364985978385,9.437825039933335,47,0,True,False,False,True,1
76561197996678278_vs_76561198253670517_at_66993,de_ancient,66993,76561197996678278,TeSeS,CT,76561198253670517,BELCHONOKK,TERRORIST,m4a1,True,0,-1082.7313232421875,788.1163330078125,68.08092498779297,-1871.5076904296875,1143.495849609375,52.03125,865.2862822908288,0.4603016896819296,0.6937573366201897,75,0,True,False,False,False,1
76561198127236290_vs_76561198053126645_at_76833,de_ancient,76833,76561198127236290,Qikert,TERRORIST,76561198053126645,NertZ,CT,ak47,True,0,268.6229553222656,-903.940185546875,154.78811645507812,54.27155303955078,-501.498291015625,180.41586303710938,456.68674551528295,3.1685676698060052,5.727310262566174,14,0,True,False,False,False,0
76561198288540801_vs_76561198057282432_at_78029,de_ancient,78029,76561198288540801,Patsi,TERRORIST,76561198057282432,kyxsan,CT,awp,False,0,1181.928466796875,-650.3768920898438,118.03125,1094.46484375,246.82003784179688,130.53125,901.536724950929,1.2426512624443808,6.501728800077285,43,0,True,False,False,False,1
76561198253670517_vs_76561197996678278_at_78566,de_ancient,78566,76561198253670517,BELCHONOKK,TERRORIST,76561197996678278,TeSeS,CT,ak47,True,0,474.252685546875,-540.8765258789062,183.33241271972656,366.9992980957031,-120.3802490234375,154.03125,434.94708425944197,0.8673414944825252,2.1321034545999513,60,0,True,False,False,False,1
76561198127236290_vs_76561198160709585_at_87971,de_ancient,87971,76561198127236290,Qikert,TERRORIST,76561198160709585,sjuush,CT,ak47,True,0,-1818.6278076171875,564.5828857421875,52.03125,-1049.5118408203125,953.521240234375,68.22579193115234,862.0177939957748,0.3686001025947251,0.7686274133028911,100,0,True,False,False,True,3
76561198253670517_vs_76561198799340122_at_88308,de_ancient,88308,76561198253670517,BELCHONOKK,TERRORIST,76561198799340122, degster,CT,ak47,True,0,-1632.87841796875,878.899658203125,52.03125,-1142.44580078125,682.4168701171875,55.22732162475586,528.3368744364101,0.7335631376281746,2.0635742347644066,100,0,True,False,False,False,3
76561198253670517_vs_76561198053126645_at_88821,de_ancient,88821,76561198253670517,BELCHONOKK,TERRORIST,76561198053126645,NertZ,CT,ak47,False,0,-1046.1240234375,767.7151489257812,68.79864501953125,-1479.870361328125,517.0323486328125,112.03125,502.83875161889614,1.5490033487292447,20.857771791239312,100,0,True,False,False,False,1
76561197996678278_vs_76561198845426189_at_89019,de_ancient,89019,76561197996678278,TeSeS,CT,76561198845426189, alpha,TERRORIST,mp9,True,0,-1412.0606689453125,1112.3775634765625,97.25526428222656,-1712.1260986328125,1184.21533203125,52.614105224609375,311.7575342577438,1.424538360660602,3.2248557660395316,51,0,True,False,False,False,0
76561198288540801_vs_76561198057282432_at_89759,de_ancient,89759,76561198288540801,Patsi,TERRORIST,76561198057282432,kyxsan,CT,ak47,True,0,-581.273193359375,446.6409912109375,160.03126525878906,-406.9854736328125,827.7929077148438,105.07575225830078,422.69741081680684,0.38968291460684884,0.5028255938989498,100,0,True,False,False,False,0
76561198253670517_vs_76561197996678278_at_89874,de_ancient,89874,76561198253670517,BELCHONOKK,TERRORIST,76561197996678278,TeSeS,CT,ak47,False,0,-1135.7481689453125,1119.6971435546875,53.429264068603516,-479.2230224609375,1089.6807861328125,88.65625,658.1543817502233,1.5347364482962804,84.35559624638712,100,0,True,False,False,False,0
76561198845426189_vs_76561198057282432_at_94622,de_ancient,94622,76561198845426189, alpha,TERRORIST,76561198057282432,kyxsan,CT,ak47,False,0,-82.8076171875,-777.4598388671875,153.03125,511.9183044433594,-807.3765869140625,114.38309478759766,596.7307714327268,8.683526226213573,0.3645052840919666,100,0,True,False,False,False,1
76561197996678278_vs_76561198288540801_at_94679,de_ancient,94679,76561197996678278,TeSeS,CT,76561198288540801,Patsi,TERRORIST,usp_silencer,True,0,-1194.2816162109375,-1084.498046875,8.96341323852539,-2140.83642578125,-986.31298828125,-9.72320556640625,951.8169482490367,2.1042425732431163,6.44076712039934,75,0,True,False,False,False,1
76561198156778414_vs_76561198160709585_at_94731,de_ancient,94731,76561198156778414,ArtFr0st,TERRORIST,76561198160709585,sjuush,CT,awp,False,0,-1895.496337890625,-391.20635986328125,80.29933166503906,-1371.2559814453125,-1603.9390869140625,-27.3123779296875,1325.5673874337106,1.1001134348999964,2.9680089547807387,100,0,True,False,False,False,1
76561198845426189_vs_76561197996678278_at_94856,de_ancient,94856,76561198845426189, alpha,TERRORIST,76561197996678278,TeSeS,CT,ak47,False,0,-614.884521484375,-619.357421875,32.75716018676758,-1135.0721435546875,-822.78564453125,34.89567947387695,558.5541846526517,3.1563879604985323,2.1720005314096578,100,0,True,False,False,False,1
76561198156778414_vs_76561198053126645_at_94863,de_ancient,94863,76561198156778414,ArtFr0st,TERRORIST,76561198053126645,NertZ,CT,awp,False,1,-1903.6051025390625,-383.1531982421875,80.29365539550781,-1505.323486328125,-1363.0123291015625,-23.2557373046875,1062.7674434553712,1.5911022319573283,1.2175255637127338,100,0,True,False,False,False,1
76561198799340122_vs_76561198845426189_at_94885,de_ancient,94885,76561198799340122, degster,CT,76561198845426189, alpha,TERRORIST,p250,True,0,-1193.0247802734375,-878.0852661132812,37.71315383911133,-614.5807495117188,-619.6458129882812,32.735252380371094,633.5718011072985,2.9798440913638506,10.4664981756387,65,0,True,False,False,False,1
76561198253670517_vs_76561198799340122_at_95072,de_ancient,95072,76561198253670517,BELCHONOKK,TERRORIST,76561198799340122, degster,CT,ak47,False,0,-547.7283325195312,-284.22613525390625,56.03135299682617,-793.8870849609375,-837.5775756835938,37.893096923828125,605.9050621693874,6.92649559884446,4.383810096954028,58,0,True,False,False,False,0
76561198160709585_vs_76561198288540801_at_98592,de_ancient,98592,76561198160709585,sjuush,CT,76561198288540801,Patsi,TERRORIST,m4a1,True,0,-1398.3603515625,194.85385131835938,87.03125,-1110.544921875,-225.75537109375,103.5965347290039,509.9257281236872,1.58976695425677,2.905762880042913,73,0,True,False,False,False,3
76561198253670517_vs_76561198160709585_at_98671,de_ancient,98671,76561198253670517,BELCHONOKK,TERRORIST,76561198160709585,sjuush,CT,ak47,False,0,-1134.625,-236.0020751953125,104.22227478027344,-1389.87109375,198.9893341064453,87.03125,504.6420769951304,9.526192843294043,8.89915035658688,55,0,True,False,False,False,3
76561198253670517_vs_76561198799340122_at_99164,de_ancient,99164,76561198253670517,BELCHONOKK,TERRORIST,76561198799340122, degster,CT,ak47,False,0,-1434.82177734375,165.1023406982422,89.9576187133789,-1281.8065185546875,952.5630493164062,54.031253814697266,802.9936118889975,6.857990034697656,5.168054048354631,45,0,True,False,False,False,2
76561198053126645_vs_76561198253670517_at_99788,de_ancient,99788,76561198053126645,NertZ,CT,76561198253670517,BELCHONOKK,TERRORIST,m4a1_silencer,True,0,-1254.2222900390625,1408.7646484375,98.20001220703125,-1359.5123291015625,1088.881103515625,97.2552719116211,336.7675268962163,2.136934990920723,3.430987911728529,73,0,True,False,False,False,1
76561198156778414_vs_76561198057282432_at_99893,de_ancient,99893,76561198156778414,ArtFr0st,TERRORIST,76561198057282432,kyxsan,CT,awp,False,0,-1826.9197998046875,811.6093139648438,52.03125,-535.8181762695312,1192.9447021484375,57.569175720214844,1346.2506264427627,1.046223381019568,4.6285607703516005,100,0,True,False,False,True,1
76561198156778414_vs_76561198053126645_at_100021,de_ancient,100021,76561198156778414,ArtFr0st,TERRORIST,76561198053126645,NertZ,CT,awp,False,0,-1905.8946533203125,920.882080078125,52.03125,-1314.7001953125,1236.837646484375,155.6875,678.2944974613224,1.5876509500114468,5.0513337412013986,100,0,True,False,False,False,1
76561198156778414_vs_76561197996678278_at_101477,de_ancient,101477,76561198156778414,ArtFr0st,TERRORIST,76561197996678278,TeSeS,CT,awp,False,0,-1889.3507080078125,858.5487060546875,52.03125,-1110.74462890625,694.3471069335938,59.5411376953125,795.7675477053768,0.27183972145389135,1.6841339728513343,12,0,True,False,False,False,0
76561198053126645_vs_76561198799340122_at_108925,de_ancient,108925,76561198053126645,NertZ,TERRORIST,76561198799340122, degster,TERRORIST,glock,False,0,213.913818359375,-666.9918212890625,154.03125,138.24502563476562,-604.8282470703125,172.03125,99.56945391057408,8.114019129293355,168.80604012913145,81,0,True,False,False,False,0
76561198053126645_vs_76561198288540801_at_108998,de_ancient,108998,76561198053126645,NertZ,TERRORIST,76561198288540801,Patsi,CT,glock,True,1,228.7552490234375,-631.0580444335938,165.5856475830078,31.23356056213379,-552.3648071289062,182.03125,213.25548257654233,5.200381341647233,13.403221377116422,24,0,True,False,False,False,0
76561198127236290_vs_76561198053126645_at_109040,de_ancient,109040,76561198127236290,Qikert,CT,76561198053126645,NertZ,TERRORIST,elite,True,0,489.28369140625,-473.32781982421875,182.03125,227.54287719726562,-653.02734375,154.03125,318.7227207494541,6.115326357379537,14.292912065831525,100,0,True,False,False,False,0
76561198127236290_vs_76561198160709585_at_109077,de_ancient,109077,76561198127236290,Qikert,CT,76561198160709585,sjuush,TERRORIST,elite,True,0,497.3065490722656,-488.8861083984375,182.03125,105.53433227539062,-588.7910766601562,172.03125,404.4335205411548,6.447574182954994,1.7754581797075064,100,0,True,False,False,False,0
76561197996678278_vs_76561198156778414_at_109687,de_ancient,109687,76561197996678278,TeSeS,TERRORIST,76561198156778414,ArtFr0st,CT,glock,True,0,1231.3055419921875,-261.5810546875,109.7464828491211,788.7199096679688,-146.80078125,130.53125,457.69920215763113,1.4917359452715708,2.722044061560785,84,0,True,False,False,False,0
76561198127236290_vs_76561197996678278_at_110051,de_ancient,110051,76561198127236290,Qikert,CT,76561197996678278,TeSeS,TERRORIST,elite,True,1,683.4136962890625,198.43988037109375,134.03125,781.7435913085938,-52.43115234375,130.03125,269.48291840108203,3.750503135013747,6.024190530736524,88,0,True,False,False,False,0
76561198253670517_vs_76561198057282432_at_111780,de_ancient,111780,76561198253670517,BELCHONOKK,CT,76561198057282432,kyxsan,TERRORIST,usp_silencer,False,0,-610.3585205078125,727.5879516601562,120.71321105957031,-294.20068359375,-667.7662963867188,164.03125,1431.3789532762746,0.5467877528994253,1.4927472077361361,100,0,True,False,False,False,0
